,names,nationality
0,Gershon,yiddish
1,Lantz,yiddish
2,Zaide,yiddish
3,Zalman,yiddish
4,Zindel,yiddish
6,Bruna,yiddish
7,Kyla,yiddish
8,Leba,yiddish
9,Mindel,yiddish
10,Shayndel,yiddish
11,Syshe,yiddish
12,Alan,gaelic
13,Angus,gaelic
14,Blaan,gaelic
15,Conan,gaelic
16,Fagan,gaelic
17,Kade,gaelic
18,Keefe,gaelic
19,Keegan,gaelic
20,Keeland,gaelic
21,Keenan,gaelic
22,Kennedy,gaelic
23,Kenyon,gaelic
24,Kermit,gaelic
25,Kern,gaelic
26,Kerry,gaelic
27,Kevin,gaelic
28,Kieran,gaelic
29,Kinnel,gaelic
30,Lawler,gaelic
31,Lee,gaelic
32,Lennon,gaelic
33,Lon,gaelic
34,Mackenzie,gaelic
35,Neal,gaelic
36,Parlan,gaelic
37,Phelan,gaelic
38,Regan,gaelic
39,Renny,gaelic
40,Riley,gaelic
41,Riordan,gaelic
42,Rogan,gaelic
43,Rooney,gaelic
44,Rory,gaelic
45,Ryan,gaelic
46,Seamus,gaelic
47,Senach,gaelic
48,Sheehan,gaelic
49,Slevin,gaelic
50,Sloan,gaelic
51,Sullivan,gaelic
52,Sully,gaelic
53,Sweeny,gaelic
54,Tee,gaelic
56,Blaine,gaelic
57,Blair,gaelic
58,Eilis,gaelic
59,Kalene,gaelic
60,Keaira,gaelic
61,Keelty,gaelic
62,Keely,gaelic
63,Keen,gaelic
64,Keitha,gaelic
65,Kellan,gaelic
66,Kennis,gaelic
67,Kerry,gaelic
68,Kevina,gaelic
69,Killian,gaelic
70,Kyna,gaelic
71,Lakyle,gaelic
72,Lee,gaelic
73,Mab,gaelic
74,Maeryn,gaelic
75,Maille,gaelic
76,Mairi,gaelic
77,Maisie,gaelic
78,Meara,gaelic
79,Meckenzie,gaelic
80,Myrna,gaelic
81,Nara,gaelic
82,Neala,gaelic
83,Nelia,gaelic
84,Oona,gaelic
85,Quinn,gaelic
86,Rhoswen,gaelic
87,Riane,gaelic
88,Riley,gaelic
89,Rogan,gaelic
90,Rona,gaelic
91,Ryan,gaelic
92,Sadb,gaelic
93,Shanley,gaelic
94,Shelagh,gaelic
95,Sine,gaelic
96,Siobhan,gaelic
97,Sorcha,gaelic
98,Ultreia,gaelic
99,Vevila,gaelic
100,Afram,african
101,Arali,african
102,Armani,african
103,Banji,african
104,Chata,african
105,Chiamaka,african
106,Chike,african
107,Dakarai,african
108,Deion,african
109,Deiondre,african
110,Dele,african
111,Dembe,african
112,Denzel,african
113,Dewayne,african
114,Diallo,african
115,Dikembe,african
116,Duante,african
117,Dume,african
118,Ebi,african
119,Essien,african
120,Faraji,african
121,Ibeamaka,african
122,Jamar,african
123,Jayvyn,african
124,Jevonte,african
125,Kabonero,african
126,Kabonesa,african
127,Kadeem,african
128,Kaleb,african
129,Kasi,african
130,Kendis,african
131,Kentay,african
132,Keshawn,african
133,Khalon,african
134,Kofi,african
135,Kwamin,african
136,Kwau,african
137,Kyan,african
138,Kyrone,african
139,La Vonn,african
140,Lado,african
141,Laken,african
142,Lakista,african
143,Lamech,african
144,Lavaughn,african
145,LeBron,african
146,Lisimba,african
147,Ludacris,african
148,Lugono,african
149,Luister,african
151,Aba,african
152,Abeni,african
153,Abiba,african
154,Abmaba,african
155,Aissa,african
156,Ajua,african
157,Akosua,african
158,Armani,african
159,Arziki,african
160,Asha,african
161,Ashanti,african
162,Ayana,african
163,Baako,african
164,Beyonce,african
165,Bisa,african
166,Cacey,african
167,Cassietta,african
168,Catava,african
169,Chipo,african
170,Cleotha,african
171,Deiondre,african
172,Deka,african
173,Delu,african
174,Dericia,african
175,Diara,african
176,Doli,african
177,Dumi,african
178,Ebere,african
179,Ekua,african
180,Faizah,african
181,Fola,african
182,Gaynelle,african
183,Habika,african
184,Hawa,african
185,Isoke,african
186,Jendayi,african
187,Jira,african
188,Kabibe,african
189,Kabira,african
190,Kacela,african
191,Kacondra,african
192,Kadija,african
193,Kainda,african
194,Kambo,african
195,Kande,african
196,Kanene,african
197,Kanesha,african
198,Kanoni,african
199,Kapera,african
200,Kapuki,african
201,Aban,irish
202,Adan,irish
203,Adare,irish
204,Aeary,irish
205,Avonmore,irish
206,Bain,irish
207,Bairre,irish
208,Ballinamore,irish
209,Banagher,irish
210,Barry,irish
211,Beacan,irish
212,Benen,irish
213,Bevin,irish
214,Blaan,irish
215,Blaine,irish
216,Blair,irish
217,Boyd,irish
218,Braden,irish
219,Bram,irish
220,Brett,irish
221,Brian,irish
222,Buzz,irish
223,Caedmon,irish
224,Caelan,irish
225,Calder,irish
226,Calhoun,irish
227,Campbell,irish
228,Canice,irish
229,Carden,irish
230,Carey,irish
231,Carlow,irish
232,Carrick,irish
233,Ciaran,irish
234,Clancy,irish
235,Colin,irish
236,Colm,irish
237,Conall,irish
238,Conner,irish
239,Cormack,irish
240,Craig,irish
241,Cullen,irish
242,Curan,irish
243,Cuyler,irish
244,Dacian,irish
245,Dailan,irish
246,Daire,irish
247,Dallas,irish
248,Dallin,irish
249,Darby,irish
250,Darcy,irish
252,Adan,irish
253,Aella,irish
254,Afric,irish
255,Ailis,irish
256,Akaisha,irish
257,Alana,irish
258,Alison,irish
259,Arlene,irish
260,Bedelia,irish
261,Birgit,irish
262,Breck,irish
263,Breena,irish
264,Brena,irish
265,Brenda,irish
266,Brice,irish
267,Bridget,irish
268,Cacey,irish
269,Caitlin,irish
270,Callan,irish
271,Cara,irish
272,Carey,irish
273,Carin,irish
274,Casey,irish
275,Cassidy,irish
276,Ceara,irish
277,Chay,irish
278,Ciannait,irish
279,Clodagh,irish
280,Colleen,irish
281,Cordelia,irish
282,Darby,irish
283,Darcie,irish
284,Daryn,irish
285,Derry,irish
286,Dierdre,irish
287,Donelle,irish
288,Duvessa,irish
289,Dymphna,irish
290,Earlene,irish
291,Ennis,irish
292,Erin,irish
293,Farran,irish
294,Feena,irish
295,Gail,irish
296,Gilda,irish
297,Glen,irish
298,Guinevere,irish
299,Haley,irish
300,Hiolair,irish
301,Hisolda,irish
302,Atilla,hungarian
303,Dezso,hungarian
304,Dorjan,hungarian
305,Ervin,hungarian
306,Gedeon,hungarian
307,Gerson,hungarian
308,Kada,hungarian
309,Kalman,hungarian
310,Kaplony,hungarian
311,Kapolcs,hungarian
312,Kardos,hungarian
313,Karsa,hungarian
314,Kartal,hungarian
315,Keled,hungarian
316,Keleman,hungarian
317,Kemenes,hungarian
318,Kende,hungarian
319,Kerecsen,hungarian
320,Keve,hungarian
321,Kinga,hungarian
322,Kolos,hungarian
323,Kont,hungarian
324,Kund,hungarian
325,Laborc,hungarian
326,Ladomér,hungarian
327,Lantos,hungarian
328,László,hungarian
329,Lehel,hungarian
330,Lél,hungarian
331,Levente,hungarian
332,Lipót,hungarian
333,Loránd,hungarian
334,Lõrinc,hungarian
335,Medárd,hungarian
336,Megyer,hungarian
337,Menyhért,hungarian
338,Miksa,hungarian
339,Milán,hungarian
340,Mór,hungarian
341,Nándor,hungarian
342,Nyék,hungarian
343,Odon,hungarian
344,Oguz,hungarian
345,Ond,hungarian
346,Onelia,hungarian
347,Orbán,hungarian
348,Örkény,hungarian
349,Ormos,hungarian
350,Örs,hungarian
351,Oszlár,hungarian
353,Bela,hungarian
354,Kamella,hungarian
355,Katalin,hungarian
356,Katoka,hungarian
357,Klara,hungarian
358,Klarika,hungarian
359,Lenci,hungarian
360,Lilike,hungarian
361,Lorand,hungarian
362,Nusa,hungarian
363,Onella,hungarian
364,Zigana,hungarian
365,Zizi,hungarian
366,Zsa Zsa,hungarian
367,Abelard,german
368,Adie,german
369,Adler,german
370,Adolph,german
371,Alaric,german
372,Albert,german
373,Albrecht,german
374,Alger,german
375,Ancel,german
376,Arland,german
377,Armand,german
378,Arnold,german
379,Avicus,german
380,Baldwin,german
381,Baltasar,german
382,Baron,german
383,Bergen,german
384,Bernard,german
385,Bernstein,german
386,Bertram,german
387,Bingham,german
388,Bogart,german
389,Brandeis,german
390,Bronson,german
391,Bud,german
392,Burke,german
393,Burle,german
394,Carsten,german
395,Clay,german
396,Clovis,german
397,Colbert,german
398,Dagobert,german
399,Dalbert,german
400,Dale,german
401,Derek,german
402,Dewitt,german
403,Dian,german
404,Dieter,german
405,Dietrich,german
406,Dolf,german
407,Drake,german
408,Dutch,german
409,Eberhard,german
410,Egmont,german
411,Elbert,german
412,Emery,german
413,Ethelred,german
414,Everett,german
415,Falk,german
416,Ferdinand,german
418,Adalgisa,german
419,Adelaide,german
420,Adolfina,german
421,Aemilia,german
422,Alberta,german
423,Alice,german
424,Alisha,german
425,Amelia,german
426,Amerie,german
427,Anneliese,german
428,Antje,german
429,Arabelle,german
430,Aria,german
431,Arrietty,german
432,Aubrey,german
433,Berit,german
434,Berlynn,german
435,Binney,german
436,Bluma,german
437,Bruna,german
438,Callan,german
439,Cecania,german
440,Clay,german
441,Dagmar,german
442,Dale,german
443,Dame,german
444,Della,german
445,Dustin,german
446,Ebba,german
447,Edwina,german
448,Elfriede,german
449,Emma,german
450,Emmylou,german
451,Ermine,german
452,Faiga,german
453,Farica,german
454,Frederica,german
455,Frieda,german
456,Galiana,german
457,Geraldine,german
458,Gertrude,german
459,Gretchen,german
460,Griselda,german
461,Hallam,german
462,Heidi,german
463,Henrietta,german
464,Hilda,german
465,Honey,german
466,Ilsa,german
467,Imelda,german
468,Anderson,swedish
469,Axel,swedish
470,Balder,swedish
471,Beck,swedish
472,Burr,swedish
473,Fiske,swedish
474,Gustave,swedish
475,Per,swedish
476,Staffan,swedish
478,Kajsa,swedish
479,Maj,swedish
480,Signe,swedish
481,Trind,swedish
482,Valborg,swedish
483,Akira,japanese
484,Banko,japanese
485,Banzan,japanese
486,Bassui,japanese
487,Benjiro,japanese
488,Botan,japanese
489,Chimon,japanese
490,Chotan,japanese
491,Dai,japanese
492,Dai-In,japanese
493,Daido,japanese
494,Doryo,japanese
495,Engu,japanese
496,Enki,japanese
497,Enmei,japanese
498,Eryu,japanese
499,Fudoki,japanese
500,Fujita,japanese
501,Genko,japanese
502,Goro,japanese
503,Hakaku,japanese
504,Haru,japanese
505,Hideaki,japanese
506,Hiromasa,japanese
507,Hiroshi,japanese
508,Hisoka,japanese
509,Hoshi,japanese
510,Iachima,japanese
511,Itsu,japanese
512,Jikai,japanese
513,Jiro,japanese
514,Jiryu,japanese
515,Joben,japanese
516,Joji,japanese
517,Jomei,japanese
518,Junichiro,japanese
519,Kado,japanese
520,Kaisha,japanese
521,Kakumyo,japanese
522,Kanaye,japanese
523,Kando,japanese
524,Kane,japanese
525,Kaori,japanese
526,Kazuo,japanese
527,Keitaro,japanese
528,Kentaro,japanese
529,Kin,japanese
530,Kishi,japanese
531,Kisho,japanese
532,Kiyoshi,japanese
534,Ai,japanese
535,Aiko,japanese
536,Akako,japanese
537,Akanah,japanese
538,Aki,japanese
539,Akina,japanese
540,Akiyama,japanese
541,Amarante,japanese
542,Amaya,japanese
543,Aneko,japanese
544,Anzan,japanese
545,Anzu,japanese
546,Aoi,japanese
547,Asa,japanese
548,Ayame,japanese
549,Bankei,japanese
550,Chika,japanese
551,Chinshu,japanese
552,Chiyo,japanese
553,Cho,japanese
554,Chorei,japanese
555,Dai,japanese
556,Eido,japanese
557,Etsu,japanese
558,Fuyo,japanese
559,Gyo Shin,japanese
560,Hakue,japanese
561,Hama,japanese
562,Hanako,japanese
563,Haya,japanese
564,Hisa,japanese
565,Hoshi,japanese
566,Ima,japanese
567,Ishi,japanese
568,Iva,japanese
569,Jakushitsu,japanese
570,Jimin,japanese
571,Jin,japanese
572,JoMei,japanese
573,Kaede,japanese
574,Kagami,japanese
575,Kaida,japanese
576,Kaiya,japanese
577,Kameko,japanese
578,Kamin,japanese
579,Kane,japanese
580,Kaori,japanese
581,Kaoru,japanese
582,Kata,japanese
583,Kaya,japanese
584,Agatho,italian
585,Amedeo,italian
586,Amerigo,italian
587,Aretino,italian
588,Arrigo,italian
589,Attilio,italian
590,Benvenuto,italian
591,Biondello,italian
592,Borachio,italian
593,Braulio,italian
594,Bronze,italian
595,Cajetan,italian
596,Carmelo,italian
597,Carmine,italian
598,Celesto,italian
599,Cirrillo,italian
600,Constanzo,italian
601,Corrado,italian
602,Demarco,italian
603,Deusdedit,italian
604,Donato,italian
605,Donus,italian
606,Eriberto,italian
607,Ermanno,italian
608,Ettore,italian
609,Falito,italian
610,Fiorello,italian
611,Flavio,italian
612,Fleance,italian
613,Floritzel,italian
614,Fortino,italian
615,Galileo,italian
616,Genovese,italian
617,Giancarlo,italian
618,Gianni,italian
619,Gino,italian
620,Gioacchino,italian
621,Giovanni,italian
622,Gratiano,italian
623,Honorius,italian
624,Hormisdas,italian
625,Hortensio,italian
626,Indro,italian
627,Lombardi,italian
628,Marco,italian
629,Mariano,italian
630,Martino,italian
631,Massimo,italian
632,Maurizio,italian
633,Maury,italian
635,Abriana,italian
636,Bambi,italian
637,Bianca,italian
638,Caprice,italian
639,Cara,italian
640,Carin,italian
641,Carlotta,italian
642,Cettina,italian
643,Contessa,italian
644,Domani,italian
645,Donatella,italian
646,Fabiana,italian
647,Fiorella,italian
648,Fiorenza,italian
649,Gaetana,italian
650,Gioia,italian
651,Giordana,italian
652,Giovanna,italian
653,Graziella,italian
654,Ilaria,italian
655,Itala,italian
656,Justina,italian
657,Lanza,italian
658,Lave,italian
659,Liona,italian
660,Luca,italian
661,Lucia,italian
662,Luciana,italian
663,Mariabella,italian
664,Marietta,italian
665,Marsala,italian
666,Mia,italian
667,Michelle,italian
668,Mila,italian
669,Natalia,italian
670,Neroli,italian
671,Ornella,italian
672,Prima,italian
673,Primavera,italian
674,Quorra,italian
675,Ricarda,italian
676,Rocio,italian
677,Romana,italian
678,Ruffina,italian
679,Sidonia,italian
680,Sienna,italian
681,Sistine,italian
682,Speranza,italian
683,Tessa,italian
684,Trilby,italian
685,Acura,american
686,Audio,american
687,Babyface,american
688,Banjo,american
689,Blaze,american
690,Bono,american
691,Boston,american
692,Butch,american
693,Cola,american
694,Coolio,american
695,Corvette,american
696,Deandre,american
697,Delmonte,american
698,Disney,american
699,Draylan,american
700,Droe,american
701,Durango,american
702,Duras,american
703,Dwalin,american
704,Edsel,american
705,Eminem,american
706,ESPN,american
707,Hamaliel,american
708,Harlem,american
709,Hopper,american
710,Hovie,american
711,Hulk,american
712,Jace,american
713,Jaxon,american
714,Jay-Z,american
715,Jeeves,american
716,Kacy,american
717,Kaden,american
718,Kadi,american
719,Kamon,american
720,Kance,american
721,Kaper,american
722,Kateo,american
723,Keandre,american
724,Ketchum,american
725,Khambrel,american
726,Kix,american
727,Koshy,american
728,Koster,american
729,Kyzer,american
730,Lafe,american
731,Lando,american
732,Lariat,american
733,Larnell,american
734,Lassiter,american
736,Apple,american
737,Atlanta,american
738,Blue Angel,american
739,Brandie,american
740,Cady,american
741,Camera,american
742,Cricket,american
743,Dannon,american
744,Darena,american
745,Day,american
746,Dimaia,american
747,Dixie,american
748,Doli,american
749,Easter,american
750,Eternity,american
751,February,american
752,Fiolla,american
753,Gaeriel,american
754,Geena,american
755,Gentle,american
756,Heavenly,american
757,Iesha,american
758,Jakki,american
759,Jazz,american
760,Jo Dee,american
761,Jody,american
762,Joey,american
763,JoJo,american
764,Joni,american
765,Juice,american
766,Kacy,american
767,Kaden,american
768,Kadie,american
769,Kaelyn,american
770,Kailey,american
771,Kaili,american
772,Kailyn,american
773,Kalei,american
774,Kaley,american
775,Kalisa,american
776,Kallan,american
777,Kallima,american
778,Kalyn,american
779,Kameron,american
780,Kamryn,american
781,Kandra,american
782,Kaneesha,american
783,Kanisha,american
784,Kaprece,american
785,Karan,american
786,Akamu,hawaiian
787,Analu,hawaiian
788,Aulii,hawaiian
789,Bane,hawaiian
790,Eowyn,hawaiian
791,Havika,hawaiian
792,Kahale,hawaiian
793,Kahanu,hawaiian
794,Kahoku,hawaiian
795,Kaholo,hawaiian
796,Kai,hawaiian
797,Kaikeapona,hawaiian
798,Kaipo,hawaiian
799,Kalama,hawaiian
800,Kale,hawaiian
801,Kalei,hawaiian
802,Kaleo,hawaiian
803,Kalepa,hawaiian
804,Kana,hawaiian
805,Kane,hawaiian
806,Kanoa,hawaiian
807,Kapono,hawaiian
808,Keahi,hawaiian
809,Keanu,hawaiian
810,Kekoa,hawaiian
811,Kelii,hawaiian
812,Keona,hawaiian
813,Kepano,hawaiian
814,Konala,hawaiian
815,Laakea,hawaiian
816,Laionela,hawaiian
817,Loe,hawaiian
818,Lono,hawaiian
819,Lulani,hawaiian
820,Maik,hawaiian
821,Makaio,hawaiian
822,Makan,hawaiian
823,Malo,hawaiian
824,Manu,hawaiian
825,Mauli,hawaiian
826,Meka,hawaiian
827,Moke,hawaiian
828,Nahele,hawaiian
829,Nalani,hawaiian
830,Okalani,hawaiian
831,Oke,hawaiian
832,Okelani,hawaiian
833,Oliana,hawaiian
834,Onaona,hawaiian
835,Palani,hawaiian
837,Alana,hawaiian
838,Aloani,hawaiian
839,Aloha,hawaiian
840,Alohi,hawaiian
841,Alona,hawaiian
842,Anani,hawaiian
843,Aulii,hawaiian
844,Edena,hawaiian
845,Haimi,hawaiian
846,Iolana,hawaiian
847,Kai,hawaiian
848,Kailani,hawaiian
849,Kaili,hawaiian
850,Kaimi,hawaiian
851,Kalama,hawaiian
852,Kalani,hawaiian
853,Kalena,hawaiian
854,Kaley,hawaiian
855,Kali,hawaiian
856,Kalia,hawaiian
857,Kalina,hawaiian
858,Kaloni,hawaiian
859,Kamea,hawaiian
860,Kawena,hawaiian
861,Keahi,hawaiian
862,Keala,hawaiian
863,Keandra,hawaiian
864,Keanu,hawaiian
865,Keiki,hawaiian
866,Keilana,hawaiian
867,Kekona,hawaiian
868,Keola,hawaiian
869,Kiana,hawaiian
870,Kiele,hawaiian
871,Kina,hawaiian
872,Kinipela,hawaiian
873,Konane,hawaiian
874,Lahela,hawaiian
875,Lanai,hawaiian
876,Lani,hawaiian
877,Lanikai,hawaiian
878,Leilana,hawaiian
879,Liliha,hawaiian
880,Lilo,hawaiian
881,Loe,hawaiian
882,Lokelani,hawaiian
883,Luana,hawaiian
884,Mahala,hawaiian
885,Mahina,hawaiian
886,Maik,hawaiian
887,Achilles,greek
888,Adonis,greek
889,Adrian,greek
890,Agamemnon,greek
891,Ajax,greek
892,Alcander,greek
893,Alcibiades,greek
894,Alexander,greek
895,Altair,greek
896,Amar,greek
897,Ambrose,greek
898,Anacletus,greek
899,Anastasius,greek
900,Anatole,greek
901,Andrew,greek
902,Andromeda,greek
903,Anker,greek
904,Anstice,greek
905,Antenor,greek
906,Anthony,greek
907,Antigonus,greek
908,Apollo,greek
909,Apostolos,greek
910,Archelaus,greek
911,Archimedes,greek
912,Ares,greek
913,Argus,greek
914,Arion,greek
915,Aristide,greek
916,Arsenio,greek
917,Asmodel,greek
918,Aster,greek
919,Athan,greek
920,Athanasios,greek
921,Athos,greek
922,Atlas,greek
923,Autolocus,greek
924,Avel,greek
925,Baptiste,greek
926,Basil,greek
927,Bates,greek
928,Bemus,greek
929,Bishop,greek
930,Caesar,greek
931,Callistus,greek
932,Cancer,greek
933,Carsten,greek
934,Castor,greek
935,Centaurus,greek
936,Charon,greek
938,Acantha,greek
939,Adara,greek
940,Adelpha,greek
941,Adrienne,greek
942,Aegle,greek
943,Afrodite,greek
944,Agape,greek
945,Agata,greek
946,Aglaia,greek
947,Agnes,greek
948,Aileen,greek
949,Alcina,greek
950,Aldora,greek
951,Alethea,greek
952,Alexandra,greek
953,Alice,greek
954,Alida,greek
955,Alisha,greek
956,Alixia,greek
957,Althea,greek
958,Aludra,greek
959,Amara,greek
960,Ambrosia,greek
961,Amethyst,greek
962,Aminta,greek
963,Amphitrite,greek
964,Anastasia,greek
965,Andrea,greek
966,Andromache,greek
967,Andromeda,greek
968,Angela,greek
969,Anstice,greek
970,Antonia,greek
971,Anysia,greek
972,Aphrodite,greek
973,Apus,greek
974,Arali,greek
975,Aretha,greek
976,Ariadne,greek
977,Ariana,greek
978,Arissa,greek
979,Artemia,greek
980,Artemis,greek
981,Astrid,greek
982,Athena,greek
983,Atropos,greek
984,Aurora,greek
985,Avel,greek
986,Basalt,greek
987,Basilissa,greek
988,Kalani,polynesian
989,Lauaki,polynesian
990,Lisiate,polynesian
991,Uhila,polynesian
992,Ulani,polynesian
993,Vala,polynesian
994,Valu,polynesian
995,Vea,polynesian
997,Kaula,polynesian
998,Lana,polynesian
999,Mahal,polynesian
1000,Maili,polynesian
1001,Pua,polynesian
1002,Uinise,polynesian
1003,Vailea,polynesian
1004,Amund,scandinavian
1005,Arvid,scandinavian
1006,Bjorn,scandinavian
1007,Canute,scandinavian
1008,Carolus,scandinavian
1009,Carson,scandinavian
1010,Dag,scandinavian
1011,Davin,scandinavian
1012,Denholm,scandinavian
1013,Dyre,scandinavian
1014,Egil,scandinavian
1015,Elvis,scandinavian
1016,Eric,scandinavian
1017,Filip,scandinavian
1018,Fortinbras,scandinavian
1019,Frey,scandinavian
1020,Haakon,scandinavian
1021,Hannes,scandinavian
1022,Igor,scandinavian
1023,Ingmar,scandinavian
1024,Ingvar,scandinavian
1025,Jarl,scandinavian
1026,Kaj,scandinavian
1027,Karr,scandinavian
1028,Kelsey,scandinavian
1029,Kerr,scandinavian
1030,Kettil,scandinavian
1031,Knute,scandinavian
1032,Kolby,scandinavian
1033,Lars,scandinavian
1034,Ludvig,scandinavian
1035,Lunt,scandinavian
1036,Mats,scandinavian
1037,Nels,scandinavian
1038,Niels,scandinavian
1039,Norb,scandinavian
1040,Odell,scandinavian
1041,Odo,scandinavian
1042,Olan,scandinavian
1043,Pal,scandinavian
1044,Quinby,scandinavian
1045,Rad,scandinavian
1046,Rune,scandinavian
1047,Skjøld,scandinavian
1048,Snorre,scandinavian
1049,Steinar,scandinavian
1050,Stieran,scandinavian
1051,Sven,scandinavian
1052,Sølve,scandinavian
1053,Thiassi,scandinavian
1055,Alleta,scandinavian
1056,Bo,scandinavian
1057,Dagna,scandinavian
1058,Dahlia,scandinavian
1059,Delling,scandinavian
1060,Eir,scandinavian
1061,Erica,scandinavian
1062,Evonne,scandinavian
1063,Freya,scandinavian
1064,Gudrun,scandinavian
1065,Gunda,scandinavian
1066,Halle,scandinavian
1067,Idonea,scandinavian
1068,Ingrid,scandinavian
1069,Jesen,scandinavian
1070,Karena,scandinavian
1071,Kelda,scandinavian
1072,Kelsey,scandinavian
1073,Kiersten,scandinavian
1074,Krystyn,scandinavian
1075,Lang,scandinavian
1076,Larsen,scandinavian
1077,Linnea,scandinavian
1078,Lis,scandinavian
1079,Lisolette,scandinavian
1080,Litzy,scandinavian
1081,Loki,scandinavian
1082,Lundy,scandinavian
1083,Malin,scandinavian
1084,Marny,scandinavian
1085,Mia,scandinavian
1086,Nissa,scandinavian
1087,Quenby,scandinavian
1088,Quinby,scandinavian
1089,Ran,scandinavian
1090,Ranveig,scandinavian
1091,Rinda,scandinavian
1092,Runa,scandinavian
1093,Sanna,scandinavian
1094,Savea,scandinavian
1095,Selma,scandinavian
1096,Signa,scandinavian
1097,Signild,scandinavian
1098,Sigrun,scandinavian
1099,Snøfrid,scandinavian
1100,Sonja,scandinavian
1101,Sorley,scandinavian
1102,Svea,scandinavian
1103,Synnove,scandinavian
1104,Thorborg,scandinavian
1105,Agapetus,spanish
1106,Aimon,spanish
1107,Beltran,spanish
1108,Berto,spanish
1109,Bronco,spanish
1110,Cipriano,spanish
1111,Cisco,spanish
1112,Cortez,spanish
1113,Cruz,spanish
1114,Cuba,spanish
1115,Dario,spanish
1116,Desiderio,spanish
1117,Diego,spanish
1118,Dimos,spanish
1119,Fanuco,spanish
1120,Federico,spanish
1121,Fraco,spanish
1122,Francisco,spanish
1123,Frisco,spanish
1124,Gervasio,spanish
1125,Gig,spanish
1126,Gonzalo,spanish
1127,Guido,spanish
1128,Guillermo,spanish
1129,Hernan,spanish
1130,Hilario,spanish
1131,Ignado,spanish
1132,Isidro,spanish
1133,Jaguar,spanish
1134,Jair,spanish
1135,Javier,spanish
1136,Jerrold,spanish
1137,Juan,spanish
1138,Kiki,spanish
1139,Larenzo,spanish
1140,Lisandro,spanish
1141,Loredo,spanish
1142,Lorenzo,spanish
1143,Macario,spanish
1144,Malvolio,spanish
1145,Manuel,spanish
1146,Marjun,spanish
1147,Montana,spanish
1148,Montego,spanish
